UP_list	DOWN_list
RF00012	ZNF430
ID1	NAE1
MED21	CCND3
VAMP2	DUOX2
GPR50	MUC1
CAPG	AKT1S1
PRIMPOL	ISCA2
VPS36	C9orf172
BORCS7	RUNX1
ZFP91-CNTF	SLC37A4
RPAIN	FAM114A1
FTH1	FASTKD1
TSC22D1	LRIF1
WNT2	TRMT11
NFYB	RP11-555H7.2
PLCE1	TMEM126B
CCDC88A	CASC5
OSM	pri-3-hsa-mir-616
TSC22D3	NF2
CDR2L	SNRPA
DNAJC8	SLC35C2
HYAL1	HNRNPAB
NAP1L5	OS9
NPDC1	TGIF1
EFNB2	CXADR
LYST	PFKL
CD59	TPM1
STOX2	KIR3DX1
KDM5C	CARHSP1
pri-3-hsa-mir-3677	ARNTL2
FYTTD1	ZBTB16
TMEM220	MITD1
KLHL8	NKX2-1-AS1
DRAM2	DUS1L
PIAS2	RP11-458D21.1
PAFAH1B2	MAGT1
PPP4R1	TRIM11
MSR1	AC093323.3
HBB	HNRNPAB
PRIMPOL	RP11-310H4.3
YRDC	MYADM
CCDC25	FMO5
CCND3	NIPAL3
PRDX3	STYXL1
RAB7A	AGRN
PRKX	AC003029.1
C9orf62	CTB-50L17.10
VIMP	HESX1
CFD	ZMYND8
RBMXL1	PLXNB2
P2RY13	SNORA3B
NPM1	PXDNL
ENPP4	TRIM44
CAMTA1	TNFRSF13B
AKTIP	SNRPC
C10orf128	C19orf12
CD58	TERT
PJA2	TMX2
KRTAP10-9	PIGQ
NDUFS4	PDE9A
ASNSD1	STK25
PLA2G4F	ARID1B
TRPC6	CRELD1
RP11-156K23.3	KIF3B
EBPL	LAMB1
RPL31	C8orf59
RRAGD	C14orf159
DUSP7	GLYR1
CRY2	SLC38A9
OBFC1	PPIL2
RPS3	CD207
CNBP	SNORD4A
SYT8	CIAO1
GPSM1	NSMCE2
LSM1	ZNF174
DHRS7	KRTAP5-2
ANKRD20A4	SLC7A7
SNORD3B-2	RPL19
hsa-mir-12119	STXBP1
TCTEX1D2	UBXN4
MZT1	CAPRIN2
CNBP	SULT1C2
GCLM	AP1B1
RAB11A	ANKRD65
MTURN	pri-3-hsa-mir-6780b
PRKCE	EEA1
CLLU1OS	TMEM175
VASN	PGD
WDR36	TCAF1
ATP5A1	RFPL2
ZNF639	BTF3
HAS2	STX16
PRKAR1A	RP11-15H20.8
RP11-613M10.8	TP53BP1
BMP2	ZNF655
IL17RE	FAM83E
ATF2	SDR39U1
PPP2CB	TPGS2
UBE2D2	MFSD5
ABHD2	TNIP1
RAC1	UBQLN2
GLYCTK	FAM200A
TALDO1	SAFB
AGFG1	UBE3C
ZCCHC6	UBAP2L
CD151	pri-3-hsa-mir-1229
TMEM70	ROBO2
CASP1	CAPN5
PPP1R3C	RSRP1
TIMM23B	CEP350
CATG00000012021.1	MGRN1
P2RX1	MUS81
ATP2B1	FRMPD4
CD48	POLR2E
RFLNB	CDK5RAP1
RP11-543E8.1	HEIH
FZD6	ARHGEF2
HCLS1	VGLL4
GNAQ	PAPOLA
ADCY4	RP13-582O9.5
NRIP2	TRAPPC9
ZNF521	SNAPC5
PTMS	SCNM1
HDAC10	EEF1D
HNRNPLL	AC004920.3
RAI14	GLYR1
ELF1	C12orf43
CEP120	SDC4
RPL9	FAM98C
CAMTA1	STAU2
RPL17	STAU2
PSMD1	ZNF33B
TRPS1	IL13RA1
ZNF24	PLCXD3
ALG13	FAM133B
HOXA-AS2	MYO6
ATP5C1	PLXNB1
PSAP	CCL5
S100A4	TJAP1
RPL13	BIN1
LY75-CD302	NOP14
ATL1	FANCG
LRRFIP2	NDUFB9
KIF1BP	RP11-887P2.5
RP11-208N14.5	LINC00469
KIAA1328	TIMM8A
MYOD1	TIMM9
LIX1L	JOSD2
TSG101	ACP6
ZMYND11	HOOK3
NR2C1	GSTT1
SCD	IL15
DHRS4	PPP1R9A
HBG2	BASP1
SHISA3	AC090421.1
RP5-855F14.1	NDUFB1
ANKRD13A	pri-3-hsa-mir-4697
TXNL1	KIAA1683
TBCA	DCTN2
SNX10	SMARCD3
KDM6B	pri-3-hsa-mir-6798
AKR1C3	SPIDR
XRCC5	FAM120AOS
TSPAN12	EMB
FAM127C	LMBRD2
HDAC9	C14orf93
MBNL2	USP39
EAPP	RF01210
UBE3A	ZSCAN9
SMAD2	ANXA4
CLTB	PPP6R3
CRTAP	ADAM15
MYNN	SPHK2
VPS29	HNRNPR
UBA52	RIC3
SH3BGRL	CCDC74A
CEBPB	CMSS1
HIGD1B	MT2A
MRPS18C	PRDX5
HIPK2	FCF1
SRP14	CATG00000052071.1
PGAM1	MYH3
N4BP2L2	TRAF3
INVS	FAM49B
MOB1A	LCA5
KLHL30	PIP5K1A
AAGAB	PISD
CD302	PHB
FCGR1A	hsa-mir-555
DCSTAMP	GPAA1
GULP1	WDR5
RNF138	ZNF394
NEDD4L	MTX1
MORN4	HNRNPL
KDSR	CEP63
LOC728024	TATDN3
ODF3L1	LAT
FZD4	RP11-706O15.3
GSPT1	RP11-15A1.7
RP11-80H18.3	pri-3-hsa-mir-570
DNAJC27	THYN1
HEXIM1	ARHGEF12
ERG	COQ6
SDF2	SETD1A
CTSO	NINJ2
CATG00000039995.1	ZNF385A
BACE1	CSK
RP5-894D12.5	TRMT2A
RPL17	SNX13
PSMC6	hsa-mir-6812
H3F3B	HDGF
RNF41	DNM2
NIPBL	NPLOC4
MMAB	AC104809.2
PXN	ZNF790
LRRC58	AMN
ECD	NFKBIB
ZNF596	WDR78
AC109642.1	OTUD5
ANKRD29	RGN
SLC25A40	HNF1B
AC004824.2	RARG
CTD-2537I9.19	pri-3-hsa-mir-7112
CYP2U1	ERBIN
CTNND1	SELENBP1
PTK2B	RPL41
SIRT1	DCAF16
VAMP3	DLX1
ACTG2	SFTA3
TSPAN2	COA1
UBE2B	TRIM38
AC116366.4	SCARNA5
LOC100335030	MOK
ANKFY1	POLR3GL
RF00322	ZBED1
PDE4A	TMED4
KIF26A	ISCA2
TMEM132A	ZC3H6
TMPRSS2	FCHO1
POLL	CAPS
LEPR	CDK11B
MCAM	PRPF38B
BACE1	SLC50A1
HPGD	HIST1H2BJ
DCTN3	TSPAN5
PEG10	FAM160B2
ETS1	NAT9
SNF8	CHMP2A
CMTM5	CATG00000114024.1
CD200	CDK11A
C1orf112	RP11-539E17.4
GTF2A2	ZNF75A
TEK	HNRNPA1
BCL6	NAA38
GRK6	BRD9
SNX3	HIST1H2BD
FEM1C	KIAA1524
NATD1	CATG00000050387.1
CD99	FBLIM1
LMNA	SSPO
SYNJ2BP	IRF2BP2
NHSL2	PDE9A
SLC38A2	EVPL
GSN	TPD52L2
GOLIM4	CPSF4
RUFY2	YY1
LTA4H	TRIP10
MINOS1	GNL3L
TSG101	KAT8
NEMF	SAYSD1
SPARCL1	C1orf61
RP11-467L20.10	CCT7
PPP1R12A	TRIT1
SSR3	NCAPH2
ALKBH7	CATG00000001363.1
CFLAR	TXNDC5
SAR1A	HELZ
DUSP3	PODNL1
PPA2	CAPN3
JAK1	RALGAPA2
ZBTB2	GOLGA1
ACADVL	TNFRSF25
ATP11B	PARD3
DNM3	GUCD1
EPB41L2	SHMT1
RPLP0	SCYL1
LOC100500773	CCDC130
MPHOSPH6	TAB1
ASRGL1	CATG00000034215.1
GHITM	AP1B1
KARS	USP6NL
ZFX	USP8
RAP1B	PTK2
SS18	CTBP1-AS1
MOXD1	B4GALT4
ASCC1	PSORS1C3
RAB20	CNNM4
FEZ1	PELI3
ORC3	CWC27
ARL13B	ATP5I
UBR5	ARFRP1
REV3L	MSI2
NFU1	pri-3-hsa-mir-6753
TMC4	NDUFA6
MRPL34	TSTA3
FGFR1	ING5
NDUFA4	NDUFAF6
ZDHHC14	CKS1B
IL10RB	GOLGA4
FYN	SMARCA1
UBE2W	MTIF2
ATP5F1	LAX1
pri-3-hsa-mir-3151	SLC25A45
hsa-mir-548bc	pri-3-hsa-mir-3183
SUV39H2	RP11-166O4.5
MSX1	SLK
RTN4	CTTNBP2NL
HBS1L	UBE2C
KTN1	MED16
P4HA1	ZZZ3
TSPYL1	RP11-58E21.3
LILRB3	TM9SF4
ACADM	DOK3
ALKBH2	GEMIN5
NDUFB8	CATG00000116605.1
SLC43A2	SNORD17
NSMCE4A	ERRFI1
MLKL	PML
SELT	GNG2
SKOR1	MR1
AC004945.2	PAK1
KCTD20	MAP7
ELP2	STUB1
OAZ2	ATXN2L
ELP4	LARP1
MSI1	SREK1
CWC15	KRT8
SLC35D2	CSNK1E
ERCC8	RP4-548D19.5
LATS2	PGRMC1
SECISBP2	MAPK8
LEPROTL1	POLH
EIF2S3	NFIA
PKNOX2	CD276
SLC30A1	WNK4
PRX	ANKIB1
OAZ2	TIMM9
ATP6V0E1	FOXM1
ZFAND6	VWA5A
PPP2CA	DTNB
GFM2	TAOK2
USP53	MRAS
TCEAL6	BSPRY
ABCC8	CD3EAP
TRPC3	COQ4
CDADC1	ANAPC5
JDP2	pri-3-hsa-mir-6848
ROPN1	STK33
RP11-507K12.1	TIPARP
BAX	pri-3-hsa-mir-6885
UBE3A	RP11-13P5.2
NAIP	PNISR
ABCC8	MAP3K7
FRMD6	GHSR
RP11-449K6.5	NOM1
MOB3C	CEP192
ANKLE2	TIA1
KLC4	LOC729218
HGF	THYN1
RP4-552O12.2	RTN4R
CD44	ATP6V1H
ST3GAL6	URI1
RF00264	PIAS4
FRG1JP	STAMBP
JOSD1	ENOX2
TSG101	THBS3
ARPC2	MRPL49
SARAF	MICAL3
CDK20	SLMAP
CBLL1	SYTL2
TOMM5	AC145124.2
HIST1H3C	ADRB2
OTUD4	RCAN3
C1QTNF1	GPATCH2
HIVEP3	TSPAN4
AL353354.1	pri-3-hsa-mir-6811
TBC1D4	TPD52L1
EMCN	CATG00000058239.1
NDUFC2	SPEN
SCOC	COG1
RP11-256I9.1	NAB1
FBXL5	GMEB1
C14orf156	pri-3-hsa-mir-4251
UBE2D2	MSH6
SEC14L2	RP11-134P9.3
SYTL4	LIPH
BMI1	FAM195A
MGST2	CHRNA4
RARS2	ZFP41
TRPV1	SLC39A7
OGDH	ZMYND8
CCL15-CCL14	RP1-62D2.3
HOXB4	COL3A1
TOMM40L	TSFM
CAMP	TRIM52
FAM177A1	ZSWIM7
TMEM139	C7orf60
CHN2	ARFGAP1
SGMS1	ANAPC13
PAPSS2	P2RX2
NFATC3	CLDN12
TBK1	CHD1L
NUDT9P1	CDH1
SNRPN	CNTN3
TXNDC15	DAXX
PGC	MRAS
ALDH3B1	SYTL2
MIER1	PKM
CLPTM1	BCL11A
RTN4	HIRIP3
SF3B5	ZNF217
CHST7	COA6
pri-3-hsa-mir-6858	CXADR
KIAA0141	PABPC4
RPS6KA1	RSRP1
CYB5A	FAM20C
FNTA	ABCD4
EIF2S3L	ARHGDIA
LGALS7	PLEC
ZZZ3	VPS53
APOA4	SRRT
HAUS4	SET
WDR17	PHB
SHROOM4	pri-3-hsa-mir-1323
SPIN4	NAV2
CDC42SE2	RUNX1
PILRA	FOLR1
PCMT1	CTNND1
COX5B	HPCAL1
PNMA1	ACYP1
DNAJC14	FAM160B2
PARD6B	TPPP3
PGM5P4-AS1	PDXK
BUB3	DHDDS
CD109	NR1H3
RPL30	CATG00000013621.1
PAQR8	PPARA
NEDD4L	TOM1
MLLT11	SUCLG2
RAP1A	XRCC6
HCLS1	PUM1
TRAPPC13	LRRC17
TMEM89	GBA2
CHRFAM7A	NME1-NME2
KLRG1	ARID4B
JKAMP	CDYL
LCK	hsa-mir-483
NUFIP1	LIG3
DKK3	UPF3A
PLEKHG3	POGZ
FXYD6	ACSS1
MAFB	ECI1
BPIFA1	CHKB-CPT1B
RF01210	PLEK2
LOC494141	LY9
GIGYF2	FBXO17
CTD-2515O10.6	GPR35
CHPF2	CTNND1
DLD	GRTP1
GPALPP1	IRF3
NSMCE2	SRRT
EMCN	DUS3L
CREM	TXNRD2
LRRFIP1	KAT8
PDLIM5	SYK
RMI1	CATG00000040340.1
FCGR1B	TCF7L2
MOSPD2	ATP2C2
NANS	IGSF8
SNX6	TAF6
RCBTB2	pri-3-hsa-mir-920
CDK2AP1	S1PR2
DLG1	MGME1
USP14	THUMPD1
SDHB	ANAPC2
GFOD1	TAPBPL
CA2	RABGEF1
ST6GAL1	NME4
NR3C1	TAPBPL
AKT3	MRPL28
DPP8	PPP1R12B
pri-5-hsa-mir-1976	BDKRB2
ARL3	FBXO9
CPNE9	TNFRSF9
SLC34A2	LILRA2
H3F3C	MAGI1
RAPGEF6	RAB40C
COMMD1	ABHD11
UBA52	C6orf89
TMEM105	COPA
IL1F10	SEC14L1
DNAJC21	IWS1
VPS37C	HSP90AB1
SSR3	UPF2
ELK1	SEMA4D
ADO	MCM3AP
RABGGTB	NFE4
TEX29	RNU6ATAC
NAP1L1	CXXC5
DEFA1	PRSS57
EIF3A	ZNF415
PHF10	TMEM53
ARL4A	RASA1
GLRX3	LZIC
MUC4	CAPN2
TUBB	MED10
CATG00000005569.1	VPS8
NORAD	NADK
RP11-492E3.1	APP
C6orf120	RP11-236P2.2
RPS27L	GAPVD1
TNIP2	STX10
CBFA2T3	PFKP
RPL29	TMEM9B-AS1
SEC11A	CATG00000118111.1
KLC4	FMNL2
GAS2L1	TMBIM6
HINT1	WDR83
NBDY	RRAGB
PRDM4	CLCC1
CWF19L1	PLEKHA7
VCPIP1	IVD
PTEN	RAB25
NR3C1	PACSIN3
ACAA1	SLFN5
DCTN2	CAMK2G
PSMA6	KMT5A
PDE1C	GJB1
TPST2	GLB1
SDHD	ZNF207
DENND2D	UBE2D3
STARD3NL	LMAN1
HCG11	TRIOBP
MRPS22	ANKRD10
ACSL1	LONP2
CYP4A22	AC136007.2
CTD-2267D19.2	TPM1
TMOD3	NSUN7
DTNA	MYEOV2
FAM111A	FCMR
SLA	HDAC8
RBMS1	TUBB
NR3C2	HIST1H2AA
CCNI	RPS14
SERPING1	CCDC58
VPS29	POLDIP2
WIZ	TBX5
TMEM178A	BPTF
GK	ATXN3
FZR1	CMYA5
UPRT	SCGB2B2
MRRF	SNRNP200
FAM124A	ARHGAP8
EFR3B	IDUA
SACM1L	SPG21
RNASEK	LEMD2
NEDD4L	EDEM2
FBXL15	KIAA0226L
FAM173A	ENTPD6
OLFM2	SAFB
BPIFA1	DR1
IGF2	C14orf145
PDE12	LOC642423
STARD4	PDE9A
CDC42	RNF217
RP11-32K4.2	IFT81
CALCOCO2	C1orf131
RPL15	UCHL5
pri-3-hsa-mir-1244-2	NIPAL1
CCR1	ZNF256
AP2A2	ZNF593
AC011526.1	BSPRY
pri-3-hsa-mir-7705	DAXX
TINF2	NPHP4
DTD2	NUCKS1
AP3B1	RBBP4
HTRA2	DDX31
GLUD1	SMTNL1
TYROBP	CPOX
CDC26	ABI1
SLC23A2	SHBG
MAP3K4	TBC1D16
ERC1	TNFSF15
CCND3	FOXP2
ANO1	ACOX3
CDADC1	RP4-800J21.3
DPP10	CPSF6
MKLN1	MRPS6
STAT5A	ZMYND8
PI4K2A	TTC1
PNRC1	CXorf38
LMNA	CTNND1
FARP1	VPS28
NDUFAF2	LTB
LIFR	RP1-120G22.11
ARL10	BCLAF1
pri-3-hsa-mir-1244-4	MRTO4
PMEL	MBD1
MOB1A	RP5-864K19.7
AHNAK	AKR7A3
MPEG1	CHRAC1
FHL3	ELOVL5
ANP32A	DDX27
FNDC3A	AGGF1
ZDHHC3	FAM206A
CCPG1	BAIAP2
PBX3	pri-3-hsa-mir-328
NOS2	TP53INP1
KCNK2	ARFRP1
ACKR1	SAFB
RPS6KA1	CAMK2D
ZMYND11	SMAP2
FAM168B	RSRP1
SFXN3	ERN2
RPS3A	PLCB2
VBP1	RBPJL
SSU72	SLC35B2
HSPB2	PARD3
OCEL1	DIO3OS
GSR	SLC39A4
CEP78	KREMEN1
THAP12	pri-3-hsa-mir-3158-2
SPG21	C19orf52
CD99	TUBB4A
EID3	TMUB2
KDM5C	SEC14L1
ATG3	SPP1
AKIRIN2	ZCCHC9
CFL2	PDE9A
CCDC91	DDOST
RF00492	CAST
ASPA	UPF3A
PWP1	STRN3
DES	ENTPD4
ZDHHC17	MAPKAP1
ATG5	DOCK9
TRAPPC2	MFAP1
ME2	BNIP1
CEP120	ARIH2
PKN2	KIF27
EPB41L5	ARFRP1
SNX10	CEACAM1
CSGALNACT1	CTDSP1
GDI2	FKBP3
CPED1	RBAK-RBAKDN
KCTD20	IQCB1
CAPN1	PSMD2
RND3	HN1
LIMK2	BAD
CD44	C1orf95
CD44	IQCA1
KAT6B	RF01241
KCNA3	PTPRF
BTF3	pri-3-hsa-mir-6125
P2RX4	GRAMD3
COLEC11	HES6
GRB2	TCOF1
IFNAR2	TUBGCP6
COPS3	CAMK2D
TMEM126A	RBM23
APAF1	RP11-520M5.5
RP11-56H2.2	RPAP3
pri-3-hsa-mir-1244-3	RAB29
TSFM	SPATA7
APOL1	NUDC
SLCO4C1	pri-3-hsa-mir-3182
HCG9	ZBTB40
TGFBR1	CLDN15
CDK4	WDR66
UBE2D3	PTPN13
DCHS1	JARID2
GKN2	RNF169
ADGRG1	ZNF771
DUSP15	FXYD1
HAS2AS	SBK1
PLSCR5	PCNP
PLPP7	MPZL1
WDR43	HOMER2
RTN4	RP11-793H13.10
MMGT1	RP11-706O15.3
NSDHL	RFX5
PTPRB	SNHG12
KCNK3	GTPBP6
ICA1	hsa-mir-6779
GXYLT2	UBE2D3
PLEKHN1	EIF4ENIF1
DPM1	HPS4
CACNA1B	HES1
ZRANB1	MAPKAPK2
SLC12A8	NOS1
TM2D2	BHLHE40
pri-3-hsa-mir-1268a	ICA1
SEMA3B	PRPF38B
CYP2S1	EBPL
SNX10	SNRPD1
RNASEK	RP11-511I2.2
SNX4	ODF2
TNR	SNRPC
ZNF551	ITFG2
RP11-335L23.3	TGFBRAP1
CARNS1	CATG00000050657.1
GUCY1B3	DHX8
H2AFY	BAIAP3
MSMO1	ASCC3
GPR27	HSH2D
RP1-290I10.3	GBA
DOLPP1	RALGAPA1
ZNF143	RIMS2
CST6	IFT22
HEBP1	RREB1
CASK	PTK2
CATG00000031212.1	LRRC56
DOCK10	METAP1
FGF18	SLAMF7
ARMC7	AC027601.2
SVIL	VGLL4
TBC1D25	ADAMTS14
KTN1	RP11-565H13.2
ARRDC3	44812
NAP1L1	AIFM1
DESI2	ACBD3
EVI5L	MYCBP2
TM2D2	TP53BP1
TMEM126A	ALDH7A1
C3orf17	TPM1
LRRC75A-AS1	GPX4
IPMK	SBNO2
CCDC82	HPDL
RP11-21F16.1	SYNJ1
SALL2	CATG00000034571.1
EIF4A2	NAT9
SF3B1	MTERF4
EXOC6	RPA2
KTN1	BCAS1
XPO6	CDH13
PRR5	CBFB
P4HA2	NT5C
ERICH1	SZRD1
NPL	FAM173B
ITGA6	RNF166
pri-3-hsa-mir-422a	SCNN1D
RPS3A	MAP3K9
GTPBP4	PREPL
ARHGAP26	ALDOA
LGALS14	CATG00000056954.1
USMG5	ZNF69
MINOS1	TCEAL8
MYH10	C16orf72
TOMM20	BRAT1
TMEM5	ZNF318
FN1	PHPT1
SEC22C	THNSL2
BC150535	CLEC2D
DIMT1	SDCCAG8
NOB1	MAEA
N4BP2L1	NGRN
PFDN1	NRIP3
SAMD3	TMEM205
SMS	ATP11A
GZMH	THOC2
RPS10-NUDT3	NDUFC1
pri-3-hsa-mir-7-2	LRRC6
NDUFAF5	DNASE1
CASC3	ERI3
LMNA	ANGEL2
C1orf52	RP13-582O9.5
VPS29	PDE4DIP
HNRNPA1	NAA38
ACTA1	YAP1
hsa-mir-609	GMIP
GLRX3	ASPH
SEC14L1	CACNA1A
SDCBP	TIGD5
CATG00000049995.1	MIR100HG
EPX	RP11-514O12.2
KRT84	HYPK
ZKSCAN5	ADAR
RRM2	REN
LIN52	RP1-170O19.16
SEC22B	NCOA6
UBE3D	IL2RA
OSTM1	CCBL2
C3orf38	SLMAP
TMEM63C	SPATA6
SUPV3L1	RBM27
CT45A1	PLEKHH3
BCL11A	LRP10
BRINP3	ATPAF1
PPWD1	HARBI1
HDAC4	CDK17
ACTN1	NAV2
GMPR2	RAB24
MON1B	FAM161A
CDHR5	KRT23
CUL2	RAB4A
AIMP1	TAF1
NOP10	PQBP1
DLG1	CCT8
PTBP3	ZBTB41
TLE4	CTC-378H22.1
AMER3	FAM160B2
TSPAN18	NUP153
CUTC	STAG2
hsa-mir-6781	SPDYE4
SLC35A3	TRMT11
GAS6	GALNTL5
PID1	SAFB
CFLAR	ZAP70
CACNA1B	ABCF1
POGZ	PEA15
WARS	FBXO2
DOK1	ARMC7
EPHA8	INSR
SLC16A5	RIPPLY3
CSNK1A1	AGAP6
GIGYF2	TMEM44
SKP1	BPNT1
HERC4	LRRK1
SKIL	C12orf43
PPIL4	SUPT5H
ZDHHC4	KHDRBS3
MTAP	PGAP2
TLE2	DBNDD2
EIF4H	PCYT1A
NR1D2	JADE2
TMTC2	LMF1
RHOJ	TRIP12
ZBTB34	RP11-356K23.1
CDKL1	TPM4
ATF2	SYNRG
SPAG9	MRPS17
PLPP6	CTA-211A9.5
LY6H	RAB40B
CTSB	RP11-77P16.4
FDX1	RAB26
CELF2	BDH1
ADGRE1	IKBKB
AC140481.8	PTPRK
TTC33	STX10
NUDT2	ANK1
ZFAND5	NPW
RP11-630D6.5	PKNOX1
SELP	EGFR
CTSD	PLA2G10
APAF1	UBE2Q1
SRSF10	RIPK3
ERMAP	GALK2
GABBR1	GLYR1
CSTF2T	MTMR1
CD8A	NUTM2G
NCBP3	GABBR1
PSMA3	AP000688.8
TTYH2	MECR
C3orf17	DLG4
OR56A3	SAYSD1
CATG00000038443.1	NAT9
CXorf38	RMND5B
GLI3	PITX2
PHTF1	IGF2BP2
RPSA	PTK6
EFNB2	HIST1H2BC
MINOS1	C6orf106
DZIP1	MLPH
RPL28	pri-3-hsa-mir-346
RP11-206L10.9	TPR
KIR3DL2	PPFIA1
SPRYD3	hsa-mir-6124
PDZD2	RANBP3
TCP11L1	STAMBP
PIK3CB	COPZ1
RAP1A	CACNB3
ZNF232	ZNF213
PIP5K1A	NPIPB11
AX748369	IGFBP2
SELP	RBM6
B4GALT5	RCAN3
AKT1	TMEM38A
RP11-494M8.4	FBXO6
MPST	PRMT8
SNN	KLHL20
CYP7B1	TBC1D14
CELF2	ZC3H14
CYP2W1	CPXM2
ELOVL1	RSRC2
FBXO10	VEGFA
ANKRD9	SLC43A1
HIVEP2	GIT2
SYNPO	STAMBP
PHRF1	UTRN
MAP1LC3C	CCDC102A
NFE2L1	PPP2R3A
CTC-454M9.1	KLHDC4
TICAM1	USP6NL
CNTLN	TRIP12
RP11-296L22.8	NOD1
HNRNPD	HDAC8
MRPS16	HCG14
CKLF-CMTM1	FAM185A
SMAD7	CFAP53
TUBB4A	TSPAN10
GLIPR2	LA16c-312E8.5
C1RL	hsa-mir-4448
ABCB1	pri-3-hsa-mir-5584
LINC00173	PPAT
CYP4B1	ETV6
TFPI	TPRX1
STAMBP	CDC73
RP11-332H18.4	NBPF3
HMGB1	ZRANB2
44626	LACE1
DNAJC8	ASCC3
ELOVL1	PLXNB1
FUT3	TEAD2
CALM1	GLP1R
GABPB2	PRKAR1A
PRKAG3	DRICH1
STK38	EPHX3
TSC22D1	CEL
CHUK	HSH2D
CCL8	ST5
SH3GL1	RP11-307E17.8
PPA2	SF3B1
UBE2D3	SORBS1
GPX2	GJC1
BORCS8	APBB1IP
RET	LOC90246
ADGRL4	BLOC1S1
SVIL	GART
TRPS1	LOC100132287
PRMT2	ATXN10
APOL1	LCK
GRSF1	ZCCHC9
ELN	C1orf95
TMEM127	DACT2
CA11	PRPF38B
PLPPR1	ANGEL2
RP11-1035H13.3	TSPAN6
STK32C	TNRC6C
ATP6V1E1	TEAD4
YPEL5	SCYL1
LSM11	DCAF12
USP19	RNF170
TNFSF14	FAM108C1
TBC1D15	MKI67
ZNF622	IGF2
RBSN	FBXL8
WASL	pri-3-hsa-mir-6833
CATG00000110949.1	SLX4IP
AUH	SCNN1A
NCOA7	NLGN2
PRIMPOL	DPP4
RP11-77K12.1	SNORA11B
ST13	MLH3
KIT	SLC34A2
RALGDS	ATRAID
CHST14	RP11-499P20.2
EIF3H	AOX1
UQCRHL	INPP5E
TGS1	IKBKB
ABHD17A	C19orf47
LPGAT1	RPL15
FAM133B	PLIN3
IL33	STK17B
TEX101	CLCF1
DDX46	MAST4
VEGFA	MMS19
ZMPSTE24	NIT2
hsa-mir-548h-3	BTF3L4
PHGR1	hsa-mir-3183
FAM114A1	MR1
DPH5	TRIM46
QKI	PNO1
RPL37A	ENTPD6
ESRRG	LUC7L
C1QBP	LETM1
ATOX1	TMEM230
C1D	ISM2
SLC25A20	ESRP1
PLCD1	MLF1
C3orf33	CCT3
CATG00000068982.1	RINT1
CATG00000033583.1	RPL28
TLR8	EPHA2
TRAPPC2L	NEK1
CBWD2	NR4A2
PGM3	MSRA
pri-3-hsa-mir-9902-1	MLPH
STAC	U47924.27
PAIP2	CATG00000058112.1
NSMCE2	UCKL1
MKNK1	METTL17
HDAC2	MGRN1
SCAF8	SNORD6
VPS4B	RIC1
LEF1	MAX
GRIK3	SYAP1
PLA2G2A	ZBTB49
PSME1	PODN
RP3-487J7.2	FUCA2
SURF4	PHTF2
MSRB1	STYXL1
METTL8	IDS
UBC	TP53BP1
FCAMR	DZANK1
ATMIN	SF1
PSMD1	PPP1R13B
RF00012	LOXL2
PTPRB	TMC5
SDF2	TCEAL3
CASP5	NFKBIB
pri-3-hsa-mir-1289-2	PSMF1
TJP1	UBE2E3
DIAPH3	UBL4A
CATG00000068640.1	PROM2
ZNF225	TRIT1
C1orf68	ZDHHC13
GPN1	SAP30BP
CACNA1C	PIGQ
GPX2	FGF1
NOXO1	ADAR
POSTN	SNAP25
SETDB2	SUPT7L
TRIM47	CCDC190
CCDC50	CLCN7
AURKB	AC079922.3
RP11-38C17.1	AF186192.5
UTY	POC1B
FAM107B	DYNLRB2
OLFML1	MAEA
NCOA1	RBM39
TOR4A	PPP1CB
SOD3	PUM2
NDUFC2-KCTD14	MNS1
SLC35F6	ITGA9
GSS	AC005549.3
STX17	DTNBP1
pri-3-hsa-mir-6835	KLHL24
GUK1	QPRT
DNAJC19	LRRC23
NOXO1	RIMKLB
PPBP	FAM120A
RRP8	EFS
RP3-400B16.3	SLC12A8
HSH2D	PRCD
PSMA4	PRKACB
RNF7	ZFP82
ARFIP2	AL627171.2
LAIR1	STAG2
RP5-1024C24.1	NME2
pri-3-hsa-mir-12131	DTNBP1
PCMT1	CLN3
NISCH	LOC105369532
CYB5A	ATXN2L
MFF	TBC1D22A
AP4M1	SLF2
SNX10	UCKL1
FEZ2	CEP112
KIAA0040	STAT3
SLC38A1	MTSS1
C1orf43	GPATCH8
DERA	TOGARAM2
NRARP	MYO5A
CD2BP2	SYTL2
DMBT1	GABRB1
N4BP2L2	NIT1
TVP23C	TMEM150A
SDF4	THAP7
METAP2	FAM168A
COX15	EPN2
CYB561D1	CAPS2
EHBP1	SGF29
CD9	RF00402
ARL6IP6	TNFRSF10C
C16orf89	SNRNP35
JUN	RNF19B
LRRC75A-AS1	GIGYF2
CTDNEP1	MAGIX
RPL10	CD22
MEST	ERGIC1
TRIM7	PTPRA
MIER1	PLXNA2
PLEKHA4	ALKBH6
SAMD7	SLC41A3
VPS37A	ASL
RAPGEFL1	DHPS
CBFB	EXOC7
CD82	MEAF6
RSPH6A	ANKRD12
KIFAP3	BAX
ZNF626	PSMC4
ROBO4	RNF225
SLC12A6	RFC2
AC010226.4	MDM2
G2E3	AD000090.2
FBXO3	MED26
SMAP1	ZFP30
JRK	SETD6
RPS15A	PDCD2
GTF2A1	TWF1
LIMCH1	AGBL5
CD44	ILF3
ABHD3	UCKL1
